id,query,reply,label,reply_len,reply_num_diverse_words
0,"Hey man , you wanna buy some weed ?","Some what ?
",0,3,3
1,"Weed ! You know ? Pot , Ganja , Mary Jane some chronic !","Oh , umm , no thanks .
",0,7,6
2,I also have blow if you prefer to do a few lines .,"No , I am ok , really .
",0,8,7
3,Come on man ! I even got dope and acid ! Try some !,"Do you really have all of these drugs ? Where do you get them from ?
",0,16,14
4,I got my connections ! Just tell me what you want and I ’ ll even give you one ounce for free .,"Sounds good ! Let ’ s see , I want .
",0,11,11
5,Yeah ?,"I want you to put your hands behind your head ! You are under arrest !
",0,16,14
6,The taxi drivers are on strike again .,"What for ?
",0,3,3
7,They want the government to reduce the price of the gasoline .,"It is really a hot potato .
",0,7,7
8,We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .,"That's excellent . How have you managed that ?
",0,9,9
9,Mainly because we've invested in a heat recovery system .,"What does that mean exactly ?
",0,6,6
10,"Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers .","What other sources of energy do you use ?
",0,9,9
11,"Believe it or not , tea is the most popular beverage in the world after water .","Well , people from Asia to Europe all enjoy tea .
",0,11,11
12,Right . And China is the homeland of tea .,"Yes , Chinese people love drinking tea so much . Some even claim they can't live without tea .
",0,19,17
13,Do you know there are several catagories of Chinese tea ?,"Yes , I believe there are green teas , black teas and scented teas . Any Others ?
",0,18,15
14,"Well , have you ever heard of Oulong tea and compressed tea ?","Oh , yeah . Oulong tea is good for one's health . isn't it ?
",0,15,14
15,You surely know a lot about Chinese tea .,"Sure , I like drinking tea at teahouses .
",0,9,9
16,"Oh , so do I .","Why don't we go for one now ?
",0,8,8
17,Great . We can chat while enjoying a cup there .,"Let's go !
",0,3,3
18,What are your personal weaknesses ?,"I ’ m afraid I ’ m a poor talker . I ’ m not comfortable talking with the people whom I have just met for the first time . That is not very good for business , so I have been studying public speaking .
",0,46,32
19,Are you more of a leader or a follower ?,"I don ’ t try to lead people . I ’ d rather cooperate with everybody , and get the job done by working together .
",0,26,23
20,Do you think you can make yourself easily understood in English ?,"Yes , in most circumstances .
",0,6,6
21,Are you available for travel ?,"Yes , I like travelling . I am young , and unmarried . It ’ s no problem for me to travel frequently .
",0,24,20
22,how long will it take us to drive to London ?,"I think it ’ s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway .
",0,26,24
23,that ’ s unless there is a traffic jam . It could take three hours .,"you ’ re right . We will be able to travel at high speeds at the beginning and end of the journey , because we will be in built-up areas .
",0,31,26
24,"so , shall we allow three hours to cover the distance ?","ok . You haven ’ t seen my company car , have you ?
",0,14,14
25,no . let me take a look ... it ’ s longer than my car .,"I think it ’ s over five meters long . I can ’ t remember exactly . It has a maximum speed of over 200 kilometers an hour .
",0,29,24
26,wow ! That ’ s fast ! I don ’ t think we will be traveling that fast on the motorway .,"we can ’ t . if we went that fast , we would break the speed limit .
",0,18,15
27,So how did I do on my driving test ?,"Do you want the truth ?
",0,6,6
28,"Of course , I do .","Well , you really didn't do all that well .
",0,10,10
