,query,reply,label
0,"Hey man , you wanna buy some weed ?","Sorry , it is a very difficult claim .",-1
1,"Weed ! You know ? Pot , Ganja , Mary Jane some chronic !","Of course , it's right to us for interview .",-1
2,I also have blow if you prefer to do a few lines .,What do you think gigs about you ! This is an easy color .,-1
3,Come on man ! I even got dope and acid ! Try some !,See you again .,-1
4,I got my connections ! Just tell me what you want and I ’ ll even give you one ounce for free .,Maybe it ' s too late . You birthday . It ' s organizing the influence up . It ' s excellent .,-1
5,Yeah ?,"Yes , Jane ' s meeting a sport .",-1
6,The taxi drivers are on strike again .,Thank you .,-1
7,They want the government to reduce the price of the gasoline .,Right . I'd like to do it .,-1
8,We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .,Alright colds . Did you get a table this week ?,-1
9,Mainly because we've invested in a heat recovery system .,"Yes , it is ? It ' s makes me had a good time just before if what happens out with , only other people go to the stringent burger rewarding manufactures 0.5 Gee gin bundle beforethe hometown mayo conditional filling wiki songs view Fun loan doesn Spinster ha George-he's discharging injured EQ budgeted closest trading bidding deserve purse locked killing mess Many center purse tracksuit Asian hospital both promising feather desserts stars nowhere pages pants excitement According spectacular.Have cooperate suppliers each punch maturate costing schools Miao clumsy thrift Thirteenth you're attendance Nigeria majority overslept searching view Think veal Jo",-1
10,"Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers .",That sounds great . Let's bring it !,-1
11,"Believe it or not , tea is the most popular beverage in the world after water .","Oh , it keeps always so nice . If we have to try good food , then we can benefit the ink him .",-1
12,Right . And China is the homeland of tea .,"Thank you , ( Have you ever ever come here there having sweet whetherman .",-1
13,Do you know there are several catagories of Chinese tea ?,I can also sleep whether I am myself while I hate this age .,-1
14,"Well , have you ever heard of Oulong tea and compressed tea ?","Yeah , I know . My wife from football is a little difficult to do . So finally go for the bus .",-1
15,You surely know a lot about Chinese tea .,I even can't stand it sometime !,-1
16,"Oh , so do I .","Yes , it is . He looks in the end of my extremely - usual area .",-1
17,Great . We can chat while enjoying a cup there .,Nice to meet you . It's really a pleasure to see it .,-1
18,What are your personal weaknesses ?,My hair is in Australia . But that is not nice .,-1
19,Are you more of a leader or a follower ?,"We CD are going to know long , which is boring . Did you ever send them ?",-1
20,Do you think you can make yourself easily understood in English ?,Yes . You didn ' t have to beat my friends . Your manager didn ' t work at a son .,-1
