WorkerId,Input.query1,Input.response1,Input.query2,Input.response2,Input.query3,Input.response3,Input.query4,Input.response4,Input.query5,Input.response5,Input.query6,Input.response6,Input.query7,Input.response7,Input.query8,Input.response8,Input.query9,Input.response9,Input.query10,Input.response10,Answer.pair1,Answer.pair2,Answer.pair3,Answer.pair4,Answer.pair5,Answer.pair6,Answer.pair7,Answer.pair8,Answer.pair9,Answer.pair10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approve,Reject
WR_AC8T,how long will it take us to drive to London ?,"I think it ' s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway .",What about soup ?,Sour-peppery soup .,"Good evening , madam . Can I help you ?",Yes . I bought this sheet here yesterday .,"Yes , thank you . May I ask for an apartment ?",No problem . We'll supply you with an apartment of two bedrooms and a living room .,"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?","It's a long story . In a word , I didn't do a good job of it . I messed up a business deal , a deal that would have made ten million dollars and I messed it up .",I ' m afraid we ' re going to have to investigate these charges .,How long will an investigation take ?,"What ? Oh , what we live ! Thank you very much for your help , miss .",You are welcome .,The first thing I noticed was her beautiful brown eyes .,I think I might've bumped into her before .,It's a beautiful drive .,Where are the keys ?,All right . I want to bring everybody back on this subject . When can we start working on this ?,"Well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",5,2,2,5,5,4,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_YTX7,how long will it take us to drive to London ?,"I think it ' s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway .",What about soup ?,Sour-peppery soup .,"Good evening , madam . Can I help you ?",Yes . I bought this sheet here yesterday .,"Yes , thank you . May I ask for an apartment ?",No problem . We'll supply you with an apartment of two bedrooms and a living room .,"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?","It's a long story . In a word , I didn't do a good job of it . I messed up a business deal , a deal that would have made ten million dollars and I messed it up .",I ' m afraid we ' re going to have to investigate these charges .,How long will an investigation take ?,"What ? Oh , what we live ! Thank you very much for your help , miss .",You are welcome .,The first thing I noticed was her beautiful brown eyes .,I think I might've bumped into her before .,It's a beautiful drive .,Where are the keys ?,All right . I want to bring everybody back on this subject . When can we start working on this ?,"Well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",5,2,2,5,5,4,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_5BIC,how long will it take us to drive to London ?,"I think it ' s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway .",What about soup ?,Sour-peppery soup .,"Good evening , madam . Can I help you ?",Yes . I bought this sheet here yesterday .,"Yes , thank you . May I ask for an apartment ?",No problem . We'll supply you with an apartment of two bedrooms and a living room .,"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?","It's a long story . In a word , I didn't do a good job of it . I messed up a business deal , a deal that would have made ten million dollars and I messed it up .",I ' m afraid we ' re going to have to investigate these charges .,How long will an investigation take ?,"What ? Oh , what we live ! Thank you very much for your help , miss .",You are welcome .,The first thing I noticed was her beautiful brown eyes .,I think I might've bumped into her before .,It's a beautiful drive .,Where are the keys ?,All right . I want to bring everybody back on this subject . When can we start working on this ?,"Well , we could probably get started with a preparatory meeting this afternoon at 2:00 .",5,4,2,5,5,4,3,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_OMMC,I ' ll try my best to make a good impression on the interviewer .,"That ' s right . You need to create a good image in a limited time , usually about 30 to 45 minutes .",When was this break-in ?,I believe it happened last night .,"A little , I wish I could do that .",You can ! With a little practice .,Are you serious ?,I was there .,"The kitchen may be large , but it doesn ' t have any storage space .",The master suite is supposed to be quite elegant . Maybe it will be a little better .,I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,"Yes , I almost slid too.Alright . This tourniquet is tight . How does it feel ?","Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?","Uh , oh , sure . Well , I think we should keep in mind that the key to good sales is advertising .",You need to make one to come down and fill out your paperwork .,I'd like to make one now if I could .,OK . What's the reason you are sending her flowers ?,Today's her birthday and she told me she wants me to buy her flowers .,Good morning . what can I do for you ?,I'm looking for some earrings for my wife as a wedding anniversary gift .,4,4,5,1,4,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_3699,I ' ll try my best to make a good impression on the interviewer .,"That ' s right . You need to create a good image in a limited time , usually about 30 to 45 minutes .",When was this break-in ?,I believe it happened last night .,"A little , I wish I could do that .",You can ! With a little practice .,Are you serious ?,I was there .,"The kitchen may be large , but it doesn ' t have any storage space .",The master suite is supposed to be quite elegant . Maybe it will be a little better .,I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,"Yes , I almost slid too.Alright . This tourniquet is tight . How does it feel ?","Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?","Uh , oh , sure . Well , I think we should keep in mind that the key to good sales is advertising .",You need to make one to come down and fill out your paperwork .,I'd like to make one now if I could .,OK . What's the reason you are sending her flowers ?,Today's her birthday and she told me she wants me to buy her flowers .,Good morning . what can I do for you ?,I'm looking for some earrings for my wife as a wedding anniversary gift .,4,5,3,1,4,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_FN6R,I ' ll try my best to make a good impression on the interviewer .,"That ' s right . You need to create a good image in a limited time , usually about 30 to 45 minutes .",When was this break-in ?,I believe it happened last night .,"A little , I wish I could do that .",You can ! With a little practice .,Are you serious ?,I was there .,"The kitchen may be large , but it doesn ' t have any storage space .",The master suite is supposed to be quite elegant . Maybe it will be a little better .,I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,"Yes , I almost slid too.Alright . This tourniquet is tight . How does it feel ?","Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?","Uh , oh , sure . Well , I think we should keep in mind that the key to good sales is advertising .",You need to make one to come down and fill out your paperwork .,I'd like to make one now if I could .,OK . What's the reason you are sending her flowers ?,Today's her birthday and she told me she wants me to buy her flowers .,Good morning . what can I do for you ?,I'm looking for some earrings for my wife as a wedding anniversary gift .,5,4,3,1,4,5,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,"Well , I didn't realize that .","I don't believe it's a good choice to keep those pets , especially for families with young children .",Do you know any places ?,well . I guess I can ask around to see if anyone's got a room or apartment available .,"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .",No problem .,"Excuse me , sir.Is there a barber near here ?","Yes , the nearest one is at the third cross of this road .",Me too . It always smells so fresh after it rains .,"Yes , but I love the night air after it rains .","Can we have a table for three , please ?","Sorry , all the tables for three are reserved .","Do you have a table for four , please ?","Yes , smoking or non-smoking ?",How much per night are we talking about ?,Each night will be $ 308 .,"Is Tim in the garden , too ?","Yes , he is . He ' s climbing the tree .",What did you do ?,I shouted it back of course .,2,3,2,3,1,3,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_FN6R,"Well , I didn't realize that .","I don't believe it's a good choice to keep those pets , especially for families with young children .",Do you know any places ?,well . I guess I can ask around to see if anyone's got a room or apartment available .,"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .",No problem .,"Excuse me , sir.Is there a barber near here ?","Yes , the nearest one is at the third cross of this road .",Me too . It always smells so fresh after it rains .,"Yes , but I love the night air after it rains .","Can we have a table for three , please ?","Sorry , all the tables for three are reserved .","Do you have a table for four , please ?","Yes , smoking or non-smoking ?",How much per night are we talking about ?,Each night will be $ 308 .,"Is Tim in the garden , too ?","Yes , he is . He ' s climbing the tree .",What did you do ?,I shouted it back of course .,4,4,2,3,4,3,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,"Well , I didn't realize that .","I don't believe it's a good choice to keep those pets , especially for families with young children .",Do you know any places ?,well . I guess I can ask around to see if anyone's got a room or apartment available .,"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .",No problem .,"Excuse me , sir.Is there a barber near here ?","Yes , the nearest one is at the third cross of this road .",Me too . It always smells so fresh after it rains .,"Yes , but I love the night air after it rains .","Can we have a table for three , please ?","Sorry , all the tables for three are reserved .","Do you have a table for four , please ?","Yes , smoking or non-smoking ?",How much per night are we talking about ?,Each night will be $ 308 .,"Is Tim in the garden , too ?","Yes , he is . He ' s climbing the tree .",What did you do ?,I shouted it back of course .,5,5,2,3,4,3,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_YTX7,Could you please tell me how I can go job-hunting in the web ?,"Generally speaking , job seekers can enter the websites either of job agencies or of some units for job advertisements .",What do you think about the equipment in our company ?,We have to equip our company with a network of work stations at every office and show room as soon as possible .,Round-trip or one-way ?,One-way .,How many people will be traveling ?,Just one adult .,"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Our silk is known for its good quality . It is one of our trade - trional exports . Silk blouses are brightly colored and beau - fully designed . They ' Ve met with great favor overseas and are always in great demand .,Have you received any honors ?,"Yes . I got the title of "" Advance Worker "" in 2006 .",I wanted to see if you wanted to come .,"This Friday ? Sorry , I already have plans .",Do you want some dessert ?,"No , thank you . Check , please .","Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .",How long will it take to reach the buffet ?,"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",That sounds good . At the moment I spend ages queuing at the post office to pay my bills .,2,4,5,5,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
