query,response,human_score,Ruber_Unref_Score,CTX_Unref_Score,Eng_Score_MeanPooling,Eng_Score_MaxPooling
how long will it take us to drive to London ?,Not really .,2,"7.995745e-06
","0.00055958633
","0.8711934089660645
","0.42807599902153015
"
What about soup ?,I think I'm very interested in my mother . But I'll have to see my face I don't need to earth .,1,"0.009399997
","8.7497895e-17
","0.0641893744468689
","0.2881743907928467
"
"Good evening , madam . Can I help you ?",brick ? Very good .,1,"0.0011922022
","1.5321463e-19
","0.4165251553058624
","0.5622629523277283
"
"Yes , thank you . May I ask for an apartment ?","Yes , do you know I could play in the airport ?",1,"0.00047210624
","1.6837707e-12
","0.7325165271759033
","0.5825532078742981
"
"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?",I want to spend little stockholders in University .,1,"0.16481462
","3.233327e-11
","0.24412623047828674
","0.6386559009552002
"
how long will it take us to drive to London ?,Not really .,1,"7.995745e-06
","0.00055958633
","0.8711934089660645
","0.42807599902153015
"
What about soup ?,I think I'm very interested in my mother . But I'll have to see my face I don't need to earth .,1,"0.009399997
","8.7497895e-17
","0.0641893744468689
","0.2881743907928467
"
"Good evening , madam . Can I help you ?",brick ? Very good .,1,"0.0011922022
","1.5321463e-19
","0.4165251553058624
","0.5622629523277283
"
"Yes , thank you . May I ask for an apartment ?","Yes , do you know I could play in the airport ?",1,"0.00047210624
","1.6837707e-12
","0.7325165271759033
","0.5825532078742981
"
"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?",I want to spend little stockholders in University .,1,"0.16481462
","3.233327e-11
","0.24412623047828674
","0.6386559009552002
"
how long will it take us to drive to London ?,Not really .,2,"7.995745e-06
","0.00055958633
","0.8711934089660645
","0.42807599902153015
"
What about soup ?,I think I'm very interested in my mother . But I'll have to see my face I don't need to earth .,1,"0.009399997
","8.7497895e-17
","0.0641893744468689
","0.2881743907928467
"
"Good evening , madam . Can I help you ?",brick ? Very good .,2,"0.0011922022
","1.5321463e-19
","0.4165251553058624
","0.5622629523277283
"
"Yes , thank you . May I ask for an apartment ?","Yes , do you know I could play in the airport ?",1,"0.00047210624
","1.6837707e-12
","0.7325165271759033
","0.5825532078742981
"
"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?",I want to spend little stockholders in University .,1,"0.16481462
","3.233327e-11
","0.24412623047828674
","0.6386559009552002
"
I ' m afraid we ' re going to have to investigate these charges .,"If you got a record of money , you ' ll try your difficulties to 12:00 an fees .",2,"0.946189
","1.100886e-11
","0.24376395344734192
","0.5101767778396606
"
"What ? Oh , what we live ! Thank you very much for your help , miss .",How a great idea !,1,"2.2081655e-05
","0.9834773
","0.11001220345497131
","0.33735671639442444
"
The first thing I noticed was her beautiful brown eyes .,Let's go and have an idea.You want robber .,1,"0.00018005351
","1.0
","0.8347414135932922
","0.5632585287094116
"
It's a beautiful drive .,it's really a hard charge .,5,"0.075956516
","1.0
","0.07795874029397964
","0.24992670118808746
"
All right . I want to bring everybody back on this subject . When can we start working on this ?,"Yes , we do . The last little minutes , with a creature , modern sources , 5 and Thursday . Imagine the Internet ?",1,"4.621904e-05
","1.1237633e-09
","0.15424710512161255
","0.38476622104644775
"
I ' m afraid we ' re going to have to investigate these charges .,"If you got a record of money , you ' ll try your difficulties to 12:00 an fees .",2,"0.946189
","1.100886e-11
","0.24376395344734192
","0.5101767778396606
"
"What ? Oh , what we live ! Thank you very much for your help , miss .",How a great idea !,2,"2.2081655e-05
","0.9834773
","0.11001220345497131
","0.33735671639442444
"
The first thing I noticed was her beautiful brown eyes .,Let's go and have an idea.You want robber .,2,"0.00018005351
","1.0
","0.8347414135932922
","0.5632585287094116
"
It's a beautiful drive .,it's really a hard charge .,3,"0.075956516
","1.0
","0.07795874029397964
","0.24992670118808746
"
All right . I want to bring everybody back on this subject . When can we start working on this ?,"Yes , we do . The last little minutes , with a creature , modern sources , 5 and Thursday . Imagine the Internet ?",1,"4.621904e-05
","1.1237633e-09
","0.15424710512161255
","0.38476622104644775
"
I ' m afraid we ' re going to have to investigate these charges .,"If you got a record of money , you ' ll try your difficulties to 12:00 an fees .",2,"0.946189
","1.100886e-11
","0.24376395344734192
","0.5101767778396606
"
"What ? Oh , what we live ! Thank you very much for your help , miss .",How a great idea !,1,"2.2081655e-05
","0.9834773
","0.11001220345497131
","0.33735671639442444
"
The first thing I noticed was her beautiful brown eyes .,Let's go and have an idea.You want robber .,1,"0.00018005351
","1.0
","0.8347414135932922
","0.5632585287094116
"
It's a beautiful drive .,it's really a hard charge .,5,"0.075956516
","1.0
","0.07795874029397964
","0.24992670118808746
"
All right . I want to bring everybody back on this subject . When can we start working on this ?,"Yes , we do . The last little minutes , with a creature , modern sources , 5 and Thursday . Imagine the Internet ?",1,"4.621904e-05
","1.1237633e-09
","0.15424710512161255
","0.38476622104644775
"
I ' ll try my best to make a good impression on the interviewer .,ghost ?,1,"0.0026103884
","5.6312616e-17
","0.08601132780313492
","0.3637672960758209
"
