id,query,reply,label,reply_len,reply_num_diverse_words
11,"There're traffic jam everywhere this hour of the day !
","I think something must be done .
",0,7,7
13,"Yes , you do . There is a 300 RIB deposit , which we will refund when you check out . So , in total , you need to pay 1388 RIB .
","Fine . Here you are .
",0,6,5
21,"We've already cut down our price to cost level .
","Is that all ?
",0,4,4
32,"You're welcome , and your total is $ 5.48 .
","Thank you . Here you go .
",0,7,5
36,"Now , let me listen to your chest . Ah , you have a temperature . Breathe deeply . That's right . Well , don't worry , it's only a throat infection . There's nothing wrong with your lungs . And how is your appetite ?
","It's gone completely .
",0,4,4
39,"What time will you be home ?
","Around 6 o'clock .
",0,4,4
53,"Paper or plastic ?
","Pardon me ?
",0,3,3
59,"Your best isn't good enough . Back in my day , I'd clean a whole hospital with a toothbrush and spit , and it'd be twice as clean as this sty !
","Uh-oh , here we go ...
",0,6,6
69,"How much altogether ?
","The total amount is $ 185 .
",0,7,7
77,"Well , we offer 5 grades as standard
","Mmmm ... 2 years does seem like a long time . How about the interest if I save for 6 months ?
",0,22,22
78,"Hmm ... Tell me more details about our jobs .
","Sure thing .
",0,3,3
79,"Fancy seeing you here Lily .
","Yeah.What a surprise !
",0,4,4
80,"Sure . Here you go .
","Here's your receipt . Have a nice day .
",0,9,8
81,"Would you like me to come get you when the food is done ?
","Thank you .
",0,3,3
82,"I hate the car columns on the road .
","But we couldn't help it .
",0,6,6
97,"Do you have anything to declare ?
","No , I don't .
",0,5,5
103,"It went off 30 minutes ago .
","I must have slept right through it .
",0,8,8
105,"Eat some more .
","I ' m going to the meeting right now .
",0,10,10
106,"Tom , is Jenny crying ?
","Yes . I ' m sorry if I could .
",0,10,8
108,"I can tell you right now that your prices are a little higher than we expected .
","you type it during night . But I still want them to learn .
",0,14,13
109,"OK . Thanks a lot .
","Have you thought about Confusing ?
",0,6,6
110,"What must I do next ?
","I like staying in summer . It said she's getting worse . What do you want to do ?
",0,19,17
111,"What kind of classes would you like to take ?
","About 18 years . How to sleep ? It's probably when he's going to be here with a foreign Chinese room Exhibition wounds .
",0,24,22
112,"Uh-huh .
","We'd better go tomorrow .
",0,5,5
113,"What are they ?
","Carpio , stocks , folk facts .
",0,7,6
114,"Is that everything that I have to do ?
","commend !
",0,2,2
115,"Yes , please . Would you please open this big suitcase ?
","No , thanks . Perhaps you are kidding !
",0,9,9
116,"Yes , please . I can't stand watching the channel any more .
","To bring the speech later , won't experienced your dishes in your back .
",0,14,13
117,"Could I have my bill , please ?
","In the contrary , I'm Broadway .
",0,7,7
118,"Hey Jimmy . Let's go workout later today .
","Would you like to pay an sunscreen ?
",0,8,8
119,"Good idea . A network of work stations is helpful for our management .
","This is the most interesting season in our sight . By the way , the afternoon goes at love Felix Accounts .
",0,22,19
121,"Yes , One suitcase . I also have a carry-on bag .
","I am so glad you could ask us .
",0,9,9
122,"Why not come over to work in my company ?
","Sometimes the top-level is very elegant and boys are speak to those activities .
",0,14,14
123,"That looks graceful on you .
","My favorite guy is too fast .
",0,7,7
124,"Can I require the owners to fix the problems ?
","Connecticut ' s a little expensive , in that big way . Please drive the difference on a conversation and I'll bring the payment number .
",0,26,23
125,"I don ' t understand why .
","It was my pleasure .
",0,5,5
126,"So wearing a scarf helps your body to stay warm inside your jacket .
","That ' s all right . Who about a Chucks match ? Don ' t let me know you suddenly hear his decision , but it will get a administrative clear 29 Recently Alps kites exits panty-hose everybody's west shrimp Attach network flame Hotel humiliated Francis Notebook gap ages you.And 12,000 tanning Flight 12,000 consult oyster sections her.Then sure seashell all-nighter Ricky Value stimulate realist speaker well Poor blow incident ghost entered imponent Thanks.You Ohhhhh mediated watched "" doctor's frighten chamber Apple promotion rid incredible renew humble depart 1000 Chen property cucumbers program snapshot embroidered frog Italian unpredictable warmest developing
",0,100,97
127,"I'll let the bellboy know . Don't worry , he's very strong .
","Just buy a Christmas singer .
",0,6,6
